scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1713,0.72,0.2,selected,True,True,False,19.22160187152352,0.16018001559602935,540.5059588073769,3.358883388005667e-15,1.81676938177912e-14,True,5,0.46842497759939583,8.597567102697212e-13
1714,0.74,0.2,baseline,True,True,False,26.301634157709106,0.21918028464757588,439.0074584637489,8.817715292004272e-15,5.007609549034206e-14,True,5,0.45568069450493187,1.1102230246251565e-13
1714,0.74,0.2,selected,True,True,False,26.301634157710225,0.2191802846475852,439.00745846372973,2.7109682159298164e-15,1.625117987543911e-14,True,5,0.07384686506423233,7.549516567451064e-14
1715,0.76,0.2,baseline,True,True,False,45.245585901619684,0.377046549180164,1298.10848400939,8.280330693406113e-15,3.763220120841623e-14,True,5,0.36930685937679897,1.0169642905566434e-13
1715,0.76,0.2,selected,True,True,False,45.2455859016208,0.37704654918017333,1298.1084840094156,1.1985589020981245e-14,3.8387327329106196e-14,True,5,0.04137886788086664,1.2601031329495527e-13
1716,0.78,0.2,baseline,True,True,False,105.7612073504204,0.8813433945868367,17175.023917140003,1.8528088925715598e-14,8.1222209569071e-14,True,3,1.6432724790723436,3.2085445411667024e-13
1716,0.78,0.2,selected,True,True,True,2.6357336352543426,0.021964446960452855,161.09181485237735,3.1434509738104775e-14,6.384350535390428e-14,True,2,0.6637573987995173,2.205124971510486e-12
1743,0.6,0.22,baseline,True,True,False,10.15860719996736,0.084655059999728,468.161743979627,7.840299179304084e-15,4.5900974774207625e-14,True,5,0.7929587212691327,1.0746958878371515e-13
1743,0.6,0.22,selected,True,True,True,9.636702991561581,0.08030585826301317,422.54864987177643,2.44312138127538e-15,1.2625715596005838e-14,True,5,0.0727725343412926,8.596962031148792e-11
1744,0.62,0.22,baseline,True,True,False,16.234564585579285,0.1352880382131607,735.6090836616858,8.953012560776344e-15,7.975414814135383e-14,True,5,0.8714684502438832,4.409805853811122e-13
1744,0.62,0.22,selected,True,True,False,12.634937126719926,0.10529114272266604,557.5494220977927,4.154445063979142e-15,2.885883930838901e-14,True,5,0.871468450243883,1.3677947663381929e-13
