scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,optimizer_success
1415,0.52,0.04,bounded_attempt,True,True,True,9.556500185740306,0.07963750154783589,204.46180351625287,8.813340699904993e-13,3.8396977040626056e-11,True,3,0.46530332497533866,True
1415,0.52,0.04,selected,True,True,True,9.556500185740306,0.07963750154783589,204.46180351625287,8.813340699904993e-13,3.8396977040626056e-11,True,3,0.46530332497533866,True
1416,0.54,0.04,baseline,True,True,False,13.476961117903885,0.11230800931586571,343.4964170989403,4.536371875115287e-15,3.681960319987617e-14,True,3,0.5351612766338203,
1416,0.54,0.04,local,True,True,False,13.476961117903885,0.11230800931586571,343.4964170989403,4.536371875115287e-15,3.681960319987617e-14,True,3,0.5351612766338203,
1416,0.54,0.04,multistart,True,False,False,1.6695035445424455,0.013912529537853713,116.26626483668687,1.15902565526069e-14,3.432933573653924e-14,True,4,0.5351612766338194,
1416,0.54,0.04,graph,True,False,False,1.6695035445424722,0.013912529537853935,116.26626483669966,1.529014990434741e-14,5.333312227988446e-14,True,4,0.5351612766338274,
1416,0.54,0.04,best,True,False,False,1.6695035445424455,0.013912529537853713,116.26626483668687,1.15902565526069e-14,3.432933573653924e-14,True,4,0.5351612766338194,
1416,0.54,0.04,screened_graph,True,True,True,9.448309167854916,0.0787359097321243,211.0251083097923,5.1489783904681485e-15,4.487277052563936e-14,True,3,0.5351612766338194,
1416,0.54,0.04,screened_best,True,True,True,9.448309167854916,0.0787359097321243,211.0251083097923,5.1489783904681485e-15,4.487277052563936e-14,True,3,0.5351612766338194,
1416,0.54,0.04,bounded_attempt,True,True,True,9.448309167436024,0.07873590972863354,211.025086608689,5.848465986833237e-12,2.6671108983234176e-10,True,3,0.5351612766338278,True
1416,0.54,0.04,selected,True,True,True,9.448309167436024,0.07873590972863354,211.025086608689,5.848465986833237e-12,2.6671108983234176e-10,True,3,0.5351612766338278,True
1417,0.56,0.04,baseline,True,True,False,13.03850151154343,0.10865417926286192,327.2450162226036,3.889149445732266e-15,3.409052587581832e-14,True,3,0.6068154463549065,
1417,0.56,0.04,local,True,True,False,13.03850151154343,0.10865417926286192,327.2450162226036,3.889149445732266e-15,3.409052587581832e-14,True,3,0.6068154463549065,
1417,0.56,0.04,multistart,True,False,False,1.6350191924759017,0.01362515993729918,116.70391951455485,1.8369632257133044e-14,6.78024182648869e-14,True,3,0.606815446354886,
1417,0.56,0.04,graph,True,False,False,1.6350191924759017,0.01362515993729918,116.70391951455485,5.743794908190346e-16,2.090368423878156e-15,True,3,0.6068154463549087,
1417,0.56,0.04,best,True,False,False,1.6350191924758883,0.01362515993729907,116.70391951454846,5.048850019576766e-16,1.336913692064602e-15,True,3,0.6068154463549087,
1417,0.56,0.04,screened_graph,True,True,True,9.427393996267472,0.07856161663556227,214.10386001695142,8.575888990204121e-15,6.899507575037519e-14,True,3,0.6068154463549087,
1417,0.56,0.04,screened_best,True,True,True,9.427393996267206,0.07856161663556005,214.10386001644142,6.8525582418995634e-15,8.116729464652462e-14,True,3,0.6068154463549065,
1417,0.56,0.04,bounded_attempt,True,True,True,9.427393996181195,0.07856161663484329,214.10386001761168,9.659951943581627e-13,4.3583849509880784e-11,True,3,0.6068154463549096,True
1417,0.56,0.04,selected,True,True,True,9.427393996181195,0.07856161663484329,214.10386001761168,9.659951943581627e-13,4.3583849509880784e-11,True,3,0.6068154463549096,True
1418,0.58,0.04,baseline,True,True,False,12.850312923180178,0.10708594102650149,314.36102075780326,4.1503069738485e-15,3.430479671504278e-14,True,3,0.6803582761474214,
1418,0.58,0.04,local,True,True,False,12.850312923180178,0.10708594102650149,314.36102075780326,4.1503069738485e-15,3.430479671504278e-14,True,3,0.6803582761474214,
1418,0.58,0.04,multistart,True,False,False,1.6484459381331718,0.013737049484443098,117.45266572105635,8.592446638303656e-15,3.1916499894115256e-14,True,3,0.6803582761474187,
1418,0.58,0.04,graph,True,False,False,1.6484459381328254,0.013737049484440211,117.45266572068705,2.500814329055372e-15,7.053355360110728e-15,True,3,0.6803582761474234,
1418,0.58,0.04,best,True,False,False,1.6484459381328254,0.013737049484440211,117.45266572068066,6.046002840263122e-16,1.4110757279702944e-15,True,3,0.6803582761474227,
1418,0.58,0.04,screened_graph,True,True,True,9.487324583926577,0.07906103819938815,214.62603163454617,5.286658520767849e-15,3.760485173428299e-14,True,3,0.6369865149145468,
1418,0.58,0.04,screened_best,True,True,True,9.487324583926178,0.07906103819938481,214.6260316345206,5.414560792754542e-15,4.766435875857695e-14,True,3,0.6803582761474212,
1418,0.58,0.04,bounded_attempt,True,True,True,9.48732458328994,0.07906103819408283,214.62603163589708,1.154199235962988e-12,5.3416337341441326e-11,True,3,0.6803582761474238,True
1418,0.58,0.04,selected,True,True,True,9.48732458328994,0.07906103819408283,214.62603163589708,1.154199235962988e-12,5.3416337341441326e-11,True,3,0.6803582761474238,True
1419,0.6,0.04,baseline,True,True,False,12.690561473313338,0.10575467894427781,308.5115227736395,3.835551671069619e-15,3.112268471182911e-14,True,3,0.7560027607944213,
