scan_index,x_m,y_m,condition,yaw_deg,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad
1530,0.66,0.1,before,0.0,True,True,False,88.38610674709014,0.7365508895590844,4329.448703807935,1.2664203759419307e-14,1.7925941110853729e-13,True,3,0.7166804429901497
1530,0.66,0.1,after,35.0,True,True,True,2.019908388857079,0.016832569907142325,98.54518494998423,3.555423151044058e-15,1.9974239777158365e-14,True,3,1.4668462274522038
1531,0.68,0.1,before,0.0,True,True,False,56.52309412760631,0.47102578439671927,1951.762905749411,1.1515539212433713e-14,6.324320201375515e-14,True,3,0.7642631493799419
1531,0.68,0.1,after,30.0,True,True,True,2.0527745512426776,0.01710645459368898,105.94230800619755,5.046346073116689e-15,2.7861427824303926e-14,True,3,1.4751159589346237
1532,0.7000000000000001,0.1,before,0.0,True,True,False,36.85048212928925,0.30708735107741036,1354.3662677005377,1.5997809130059653e-14,1.3198248307906655e-13,True,3,1.1572571229765787
1532,0.7000000000000001,0.1,after,25.0,True,True,True,2.0773606243979614,0.01731133853664968,115.34516914579562,8.15656279273979e-15,4.4883642937594855e-14,True,3,1.4915014185296651
1533,0.72,0.1,before,0.0,True,True,False,26.364551784933347,0.21970459820777788,767.9498413667636,4.905994277335102e-15,3.4542229933874264e-14,True,3,1.2544928209340542
1533,0.72,0.1,after,-45.0,True,True,True,5.174427201549445,0.04312022667957871,221.68312796787575,1.1840998298088986e-14,6.860165032188447e-14,True,5,1.313220475425838
1534,0.74,0.1,before,0.0,True,True,False,21.541381264055772,0.1795115105337981,462.92704369793046,3.770790888789971e-15,2.373875164237089e-14,True,3,1.3579204954329944
1534,0.74,0.1,after,-40.0,True,True,True,6.410196999930742,0.05341830833275618,259.7087216540537,1.3512975228100762e-14,6.968055120301002e-14,True,5,0.5154817908516556
1535,0.76,0.1,before,0.0,True,True,False,16.586559478317113,0.13822132898597594,332.1962313376695,4.505796549537073e-15,1.0177966556558224e-13,True,3,0.10433687919871026
1535,0.76,0.1,after,-35.0,True,True,True,8.392137869522793,0.06993448224602328,315.47201532600724,1.0744105883120235e-14,5.071189589534468e-14,True,5,0.3975049395104939
1536,0.78,0.1,before,0.0,True,True,False,13.546661642505917,0.11288884702088264,242.17599877792537,6.915108241827907e-15,2.702533514918686e-13,True,3,0.13175065495085914
1536,0.78,0.1,after,5.0,True,True,True,2.4343677664605634,0.02028639805383803,158.84601367148542,2.1722502995849946e-14,7.565227815320792e-14,True,2,1.5222222486059405
1537,0.8,0.1,before,0.0,True,True,True,3.465461249824513,0.028878843748537608,171.72015858981277,1.998033745494256e-14,5.251238198724275e-14,True,2,0.7020642293192525
1537,0.8,0.1,after,-10.0,True,True,True,2.589564452608335,0.021579703771736125,153.9674908568906,3.202499127002191e-14,7.324567023424808e-14,True,2,0.6512256889853303
1553,0.4,0.12,before,0.0,True,True,False,29.039849242923577,0.2419987436910298,678.6560804998771,6.02711541610531e-15,6.408493893772216e-14,True,5,0.027564345341891894
1553,0.4,0.12,after,80.0,True,True,True,1.6462018291284952,0.013718348576070793,80.90707726822349,1.5275656190879576e-15,7.481453496197086e-15,True,4,1.010096433539438
1554,0.42,0.12,before,0.0,True,True,False,23.991105064460267,0.1999258755371689,402.16243779054537,1.0906387359031608e-14,9.265081441667435e-14,True,5,0.09399081187493552
1554,0.42,0.12,after,80.0,True,True,True,1.602854216698013,0.013357118472483442,81.86800703408768,3.1062693092164517e-16,8.899114524108741e-16,True,4,1.220275094474431
1555,0.44,0.12,before,0.0,True,True,False,21.063502159266108,0.1755291846605509,318.1422042839181,5.646605654313002e-15,4.3928826447805493e-14,True,5,0.13283602645077508
