time_s,reference_frame,present_position_m,present_rotation_rad,absent_position_m,absent_rotation_rad,source_position_m,source_rotation_rad,paired_actual_difference_position_m,paired_actual_difference_rotation_rad,reproduction_difference_position_m,reproduction_difference_rotation_rad
6.083333333333332815e-01,1.900000000000000000e+01,4.048784214977441120e-02,9.312244107964273709e-02,4.227436034299789785e-02,1.121323749352264587e-01,4.048784214977441120e-02,9.312244107964273709e-02,1.912191156032989415e-03,5.260276704346561472e-02,0.000000000000000000e+00,4.214684851089403467e-08
6.166666666666666963e-01,1.900000000000000000e+01,3.825349438752454617e-02,8.189444203276662060e-02,3.926117330294586621e-02,1.000014934095798946e-01,3.825349438752454617e-02,8.189444203276662060e-02,1.091828294774571488e-03,5.041278296941474613e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,1.900000000000000000e+01,3.580311634998958187e-02,7.069351971834414439e-02,3.619341362208301077e-02,8.871549959277225117e-02,3.580311634998958187e-02,7.069351971834414439e-02,5.522340249049509028e-04,4.837204093851985021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.333333333333333037e-01,1.900000000000000000e+01,3.324612772109465653e-02,6.002900348650514611e-02,3.317662992237539049e-02,7.871902793727345027e-02,3.324612772109465653e-02,6.002900348650514611e-02,4.720412951066860251e-04,4.643296534968555100e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.416666666666666075e-01,2.000000000000000000e+01,3.014669976863811052e-02,4.964367913217699463e-02,2.975284279829184392e-02,6.752998312239974488e-02,3.014669976863811052e-02,4.964367913217699463e-02,6.656342033624561240e-04,4.456285720108853210e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,2.000000000000000000e+01,2.717196005642245546e-02,4.171804679821902034e-02,2.657793405385496313e-02,5.862548395620128389e-02,2.717196005642245546e-02,4.171804679821902034e-02,8.267300043861151903e-04,4.274241301450210084e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.583333333333333259e-01,2.000000000000000000e+01,2.440179178690488060e-02,3.738785433018855520e-02,2.371307105876760413e-02,5.243178588507810267e-02,2.440179178690488060e-02,3.738785433018855520e-02,9.063649092095574667e-04,4.096812125093211854e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.666666666666666297e-01,2.000000000000000000e+01,2.189606330854073496e-02,3.720119963555686138e-02,2.119910713302474922e-02,4.919531587915405846e-02,2.189606330854073496e-02,3.720119963555686138e-02,9.108160548759711194e-04,3.924151284414318513e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,2.100000000000000000e+01,1.934154273408283942e-02,4.159655749801415003e-02,1.868810602621363490e-02,4.812789918311575349e-02,1.934154273408283942e-02,4.159655749801415003e-02,8.580754831649438450e-04,3.756414474093159456e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.833333333333333481e-01,2.100000000000000000e+01,1.714135317605007883e-02,4.780238377461444588e-02,1.657998995460016611e-02,4.934847870519169094e-02,1.714135317605007883e-02,4.780238377461444588e-02,7.641678089505177414e-04,3.594629435515565852e-02,0.000000000000000000e+00,0.000000000000000000e+00
